version,acc,macro_p,macro_r,normal_p,normal_r,normal_f1,scream_p,scream_r,scream_f1,water_p,water_r,water_f1,other_p,other_r,other_f1,joint_p,joint_r,joint_r_04,sR04,wR04,water58,water58_04,probe_fp,probe_fp06
01,0.45714285714285713,0.5638418964076859,0.44315476190476194,0.9,0.5142857142857142,0.6545454545454545,0.625,0.25,0.35714285714285715,0.4605263157894737,0.5833333333333334,0.5147058823529411,0.2698412698412698,0.425,0.3300970873786408,0.287828947368421,0.14583333333333334,0.13333333333333333,0.2,0.6666666666666666,0.6724137931034483,0.7586206896551724,0.0627062706270627,0.0429042904290429
02,0.6,0.6197589612768185,0.6086309523809523,0.7307692307692307,0.5428571428571428,0.6229508196721312,0.7755102040816326,0.95,0.8539325842696629,0.6458333333333334,0.5166666666666667,0.5740740740740741,0.3269230769230769,0.425,0.3695652173913043,0.5008503401360545,0.49083333333333334,0.53625,0.975,0.55,0.6724137931034483,0.7068965517241379,0.29372937293729373,0.1782178217821782
03,0.6514285714285715,0.757725269120781,0.6791666666666667,1.0,0.6,0.75,0.8478260869565217,0.975,0.9069767441860465,0.8064516129032258,0.4166666666666667,0.5494505494505495,0.37662337662337664,0.725,0.49572649572649574,0.6837307152875175,0.40625,0.43875,0.975,0.45,0.5,0.5689655172413793,0.20132013201320131,0.13861386138613863
04,0.6742857142857143,0.7454035854281296,0.7008928571428572,0.8461538461538461,0.6285714285714286,0.7213114754098361,0.8478260869565217,0.975,0.9069767441860465,0.8709677419354839,0.45,0.5934065934065934,0.4166666666666667,0.75,0.5357142857142857,0.738429172510519,0.43875,0.47125,0.975,0.48333333333333334,0.5517241379310345,0.603448275862069,0.22772277227722773,0.17491749174917492
05,0.5942857142857143,0.656619136668225,0.6059523809523809,0.7419354838709677,0.6571428571428571,0.696969696969697,0.8333333333333334,0.625,0.7142857142857143,0.6888888888888889,0.5166666666666667,0.5904761904761905,0.36231884057971014,0.625,0.45871559633027525,0.5740740740740741,0.3229166666666667,0.3712500000000001,0.675,0.55,0.5862068965517241,0.6379310344827587,0.08250825082508251,0.0429042904290429
06,0.6114285714285714,0.702734871599288,0.6261904761904762,0.8695652173913043,0.5714285714285714,0.6896551724137931,0.8611111111111112,0.775,0.8157894736842105,0.725,0.48333333333333334,0.58,0.35526315789473684,0.675,0.46551724137931033,0.6243055555555556,0.3745833333333333,0.4,0.8,0.5,0.5517241379310345,0.6206896551724138,0.09900990099009901,0.056105610561056105
07,0.6514285714285715,0.7038723315618808,0.6467261904761905,0.8461538461538461,0.6285714285714286,0.7213114754098361,0.84375,0.675,0.75,0.7321428571428571,0.6833333333333333,0.7068965517241379,0.39344262295081966,0.6,0.4752475247524752,0.6177455357142857,0.46125000000000005,0.6070833333333333,0.775,0.7833333333333333,0.7758620689655172,0.8275862068965517,0.0924092409240924,0.056105610561056105
08,0.6457142857142857,0.7098214285714286,0.6517857142857143,1.0,0.6571428571428571,0.7931034482758621,0.8333333333333334,0.875,0.8536585365853658,0.6666666666666666,0.6,0.631578947368421,0.3392857142857143,0.475,0.3958333333333333,0.5555555555555556,0.525,0.6320833333333333,0.925,0.6833333333333333,0.7068965517241379,0.8103448275862069,0.1353135313531353,0.0924092409240924
09,0.6514285714285715,0.6700151106666087,0.637797619047619,0.95,0.5428571428571428,0.6909090909090909,0.639344262295082,0.975,0.7722772277227723,0.676923076923077,0.7333333333333333,0.704,0.41379310344827586,0.3,0.34782608695652173,0.4327868852459017,0.715,0.8125,0.975,0.8333333333333334,0.896551724137931,0.9137931034482759,0.38283828382838286,0.3465346534653465
10,0.68,0.7290688787326685,0.687202380952381,1.0,0.6571428571428571,0.7931034482758621,0.8085106382978723,0.95,0.8735632183908046,0.7115384615384616,0.6166666666666667,0.6607142857142857,0.39622641509433965,0.525,0.45161290322580644,0.5752864157119476,0.5858333333333333,0.6499999999999999,0.975,0.6666666666666666,0.6896551724137931,0.7413793103448276,0.20462046204620463,0.16501650165016502
11,0.7428571428571429,0.8233856881117155,0.7660714285714286,0.9615384615384616,0.7142857142857143,0.819672131147541,0.9743589743589743,0.95,0.9620253164556962,0.8918918918918919,0.55,0.6804123711340206,0.4657534246575342,0.85,0.6017699115044248,0.869022869022869,0.5225,0.5541666666666667,0.95,0.5833333333333334,0.6379310344827587,0.7241379310344828,0.0627062706270627,0.04950495049504951
12,0.6857142857142857,0.7320361843751564,0.6860119047619047,0.96,0.6857142857142857,0.8,0.8461538461538461,0.825,0.8354430379746836,0.7068965517241379,0.6833333333333333,0.6949152542372882,0.41509433962264153,0.55,0.4731182795698925,0.5981432360742706,0.56375,0.6599999999999999,0.9,0.7333333333333333,0.6896551724137931,0.8275862068965517,0.10891089108910891,0.0594059405940594
13,0.7542857142857143,0.8006633564522908,0.7610119047619047,0.9230769230769231,0.6857142857142857,0.7868852459016393,0.95,0.95,0.95,0.8541666666666666,0.6833333333333333,0.7592592592592593,0.47540983606557374,0.725,0.5742574257425742,0.8114583333333333,0.6491666666666667,0.6649999999999999,0.95,0.7,0.7241379310344828,0.7586206896551724,0.10891089108910891,0.07590759075907591
